unitid,institution,year,state,county,fips,n_pell,per_pell,undergrad_headcount
105215,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2021,Arizona,Maricopa County,"Maricopa County, AZ",545,43,38
105297,Dine College,2021,Arizona,Apache County,"Apache County, AZ",651,48,31
105330,Northern Arizona University,2021,Arizona,Coconino County,"Coconino County, AZ",8007,32,72
105349,Northland Pioneer College,2021,Arizona,Navajo County,"Navajo County, AZ",413,15,253
105367,Ottawa University-Phoenix,2021,Arizona,Maricopa County,"Maricopa County, AZ",171,43,101
105428,Phoenix College,2021,Arizona,Maricopa County,"Maricopa County, AZ",3261,34,275
105525,Pima Community College,2021,Arizona,Pima County,"Pima County, AZ",4874,31,1644
105534,Pima Medical Institute-Tucson,2021,Arizona,Pima County,"Pima County, AZ",2055,53,105
105543,Pima Medical Institute-Albuquerque,2021,New Mexico,Bernalillo County,"Bernalillo County, NM",774,57,319
105589,Prescott College,2021,Arizona,Yavapai County,"Yavapai County, AZ",188,45,5121
105659,Refrigeration School Inc,2021,Arizona,Maricopa County,"Maricopa County, AZ",961,60,407
105668,Rio Salado College,2021,Arizona,Maricopa County,"Maricopa County, AZ",1625,9,224
105677,Roberto-Venn School of Luthiery,2021,Arizona,Maricopa County,"Maricopa County, AZ",18,40,58
105747,Scottsdale Community College,2021,Arizona,Maricopa County,"Maricopa County, AZ",1121,15,431
105792,South Mountain Community College,2021,Arizona,Maricopa County,"Maricopa County, AZ",1170,33,672
105899,Arizona Christian University,2021,Arizona,Maricopa County,"Maricopa County, AZ",363,39,333
106041,Universal Technical Institute of Arizona Inc,2021,Arizona,Maricopa County,"Maricopa County, AZ",1172,42,36
106111,Empire Beauty School-NW Phoenix,2021,Arizona,Maricopa County,"Maricopa County, AZ",74,68,27
106148,Yavapai College,2021,Arizona,Yavapai County,"Yavapai County, AZ",1640,27,70
106245,University of Arkansas at Little Rock,2021,Arkansas,Pulaski County,"Pulaski County, AR",2795,43,1049
106263,University of Arkansas for Medical Sciences,2021,Arkansas,Pulaski County,"Pulaski County, AR",280,33,81
106306,Arkansas Baptist College,2021,Arkansas,Pulaski County,"Pulaski County, AR",307,67,728
106315,Arkansas Beauty School-Little Rock,2021,Arkansas,Pulaski County,"Pulaski County, AR",146,61,79
106324,Arkansas Beauty College,2021,Arkansas,Pope County,"Pope County, AR",43,58,48
106342,Lyon College,2021,Arkansas,Independence County,"Independence County, AR",258,39,801
106351,Arkansas Technical School,2021,Arkansas,Pulaski County,"Pulaski County, AR",86,74,1019
106360,Arthur's Beauty College,2021,Arkansas,Sebastian County,"Sebastian County, AR",33,77,189
106397,University of Arkansas,2021,Arkansas,Washington County,"Washington County, AR",4097,18,167
106412,University of Arkansas at Pine Bluff,2021,Arkansas,Jefferson County,"Jefferson County, AR",1751,70,4972
106449,Arkansas State University-Beebe,2021,Arkansas,White County,"White County, AR",1077,36,53
106458,Arkansas State University,2021,Arkansas,Craighead County,"Craighead County, AR",3114,37,58
106467,Arkansas Tech University,2021,Arkansas,Pope County,"Pope County, AR",3592,36,897
106485,University of Arkansas at Monticello,2021,Arkansas,Drew County,"Drew County, AR",1213,52,4505
106494,Arthur's Beauty College,2021,Arkansas,Pulaski County,"Pulaski County, AR",54,73,802
106546,Baptist Health College Little Rock,2021,Arkansas,Pulaski County,"Pulaski County, AR",587,89,139
106625,Black River Technical College,2021,Arkansas,Randolph County,"Randolph County, AR",673,50,114
106704,University of Central Arkansas,2021,Arkansas,Faulkner County,"Faulkner County, AR",3151,37,1553
106713,Central Baptist College,2021,Arkansas,Faulkner County,"Faulkner County, AR",288,48,573
106795,Cossatot Community College of the University of Arkansas,2021,Arkansas,Sevier County,"Sevier County, AR",490,35,87
106810,Crowley's Ridge College,2021,Arkansas,Greene County,"Greene County, AR",111,58,474
106883,East Arkansas Community College,2021,Arkansas,St. Francis County,"St. Francis County, AR",477,51,17
106892,Eastern College of Health Vocations-Little Rock,2021,Arkansas,Pulaski County,"Pulaski County, AR",158,70,79
106908,Paul Mitchell the School-Little Rock,2021,Arkansas,Pulaski County,"Pulaski County, AR",351,68,557
106980,National Park College,2021,Arkansas,Garland County,"Garland County, AR",1429,75,245
106999,University of Arkansas Community College-Batesville,2021,Arkansas,Independence County,"Independence County, AR",520,43,179
107044,Harding University,2021,Arkansas,White County,"White County, AR",761,21,68
107071,Henderson State University,2021,Arkansas,Clark County,"Clark County, AR",1218,46,27292
107080,Hendrix College,2021,Arkansas,Faulkner County,"Faulkner County, AR",304,29,527
107099,Hot Springs Beauty College,2021,Arkansas,Garland County,"Garland County, AR",89,74,4921
107123,Jefferson Regional Medical Center School of Nursing,2021,Arkansas,Jefferson County,"Jefferson County, AR",40,41,102
107141,John Brown University,2021,Arkansas,Benton County,"Benton County, AR",453,25,1801
107220,Career Academy of Hair Design,2021,Arkansas,Washington County,"Washington County, AR",207,68,282
107293,Academy of Salon and Spa,2021,Arkansas,Sebastian County,"Sebastian County, AR",55,60,27
107318,Arkansas State University Mid-South,2021,Arkansas,Crittenden County,"Crittenden County, AR",400,33,84
107327,Arkansas Northeastern College,2021,Arkansas,Mississippi County,"Mississippi County, AR",470,35,152
107442,New Tyler Barber College Inc,2021,Arkansas,Pulaski County,"Pulaski County, AR",28,58,425
107460,North Arkansas College,2021,Arkansas,Boone County,"Boone County, AR",708,44,872
107488,Northwest Technical Institute,2021,Arkansas,Washington County,"Washington County, AR",99,53,34
107512,Ouachita Baptist University,2021,Arkansas,Clark County,"Clark County, AR",404,24,143
107521,Arkansas State University Three Rivers,2021,Arkansas,Hot Spring County,"Hot Spring County, AR",275,22,9598
107549,Ozarka College,2021,Arkansas,Izard County,"Izard County, AR",569,55,6015
107558,University of the Ozarks,2021,Arkansas,Johnson County,"Johnson County, AR",296,35,1808
107585,University of Arkansas Community College-Morrilton,2021,Arkansas,Conway County,"Conway County, AR",868,47,919
107600,Philander Smith College,2021,Arkansas,Pulaski County,"Pulaski County, AR",603,75,432
107619,Phillips Community College of the University of Arkansas,2021,Arkansas,Phillips County,"Phillips County, AR",431,39,1805
107637,Southeast Arkansas College,2021,Arkansas,Jefferson County,"Jefferson County, AR",703,63,64
107655,Professional Cosmetology Education Center,2021,Arkansas,Union County,"Union County, AR",34,56,1047
107664,University of Arkansas-Pulaski Technical College,2021,Arkansas,Pulaski County,"Pulaski County, AR",2416,50,123
107725,University of Arkansas Hope-Texarkana,2021,Arkansas,Hempstead County,"Hempstead County, AR",526,44,18673
107743,University of Arkansas Community College Rich Mountain,2021,Arkansas,Polk County,"Polk County, AR",358,45,2977
107789,Paul Mitchell the School-Arkansas,2021,Arkansas,Washington County,"Washington County, AR",77,42,1319
107831,Searcy Beauty College,2021,Arkansas,White County,"White County, AR",68,60,582
107840,Shorter College,2021,Arkansas,Pulaski County,"Pulaski County, AR",187,84,964
107877,Williams Baptist University,2021,Arkansas,Lawrence County,"Lawrence County, AR",297,51,90
107974,South Arkansas Community College,2021,Arkansas,Union County,"Union County, AR",514,41,134
107983,Southern Arkansas University Main Campus,2021,Arkansas,Columbia County,"Columbia County, AR",1553,45,328
107992,Southern Arkansas University Tech,2021,Arkansas,Calhoun County,"Calhoun County, AR",429,56,232
108056,University of Arkansas System Office,2021,Arkansas,Pulaski County,"Pulaski County, AR",,,39
108065,Velvatex College of Beauty Culture,2021,Arkansas,Pulaski County,"Pulaski County, AR",8,57,33734
108092,University of Arkansas-Fort Smith,2021,Arkansas,Sebastian County,"Sebastian County, AR",2412,41,13143
108232,Academy of Art University,2021,California,San Francisco County,"San Francisco County, CA",2461,40,1922
108269,Academy of Chinese Culture and Health Sciences,2021,California,Alameda County,"Alameda County, CA",,,5395
108667,College of Alameda,2021,California,Alameda County,"Alameda County, CA",604,12,97
108807,Allan Hancock College,2021,California,Santa Barbara County,"Santa Barbara County, CA",2350,23,6477
108852,American Academy of Dramatic Arts-Los Angeles,2021,California,Los Angeles County,"Los Angeles County, CA",34,32,5614
108861,Berkeley School of Theology,2021,California,Alameda County,"Alameda County, CA",,,2845
108870,American Film Institute Conservatory,2021,California,Los Angeles County,"Los Angeles County, CA",,,2313
108977,American Beauty College,2021,California,Los Angeles County,"Los Angeles County, CA",106,50,51
109040,American Career College-Los Angeles,2021,California,Los Angeles County,"Los Angeles County, CA",1855,65,518
109086,American Conservatory Theater,2021,California,San Francisco County,"San Francisco County, CA",1,14,3039
109208,American River College,2021,California,Sacramento County,"Sacramento County, CA",6320,25,3397
109350,Antelope Valley Community College District,2021,California,Los Angeles County,"Los Angeles County, CA",4439,37,8154
109651,Art Center College of Design,2021,California,Los Angeles County,"Los Angeles County, CA",575,30,761
109721,Associated Technical College-Los Angeles,2021,California,Los Angeles County,"Los Angeles County, CA",180,72,9274
109730,Associated Technical College-San Diego,2021,California,San Diego County,"San Diego County, CA",46,96,3656
109785,Azusa Pacific University,2021,California,Los Angeles County,"Los Angeles County, CA",1499,33,501
109819,Bakersfield College,2021,California,Kern County,"Kern County, CA",7059,28,125
109907,Barstow Community College,2021,California,San Bernardino County,"San Bernardino County, CA",1188,49,681
109934,Bellus Academy-Chula Vista,2021,California,San Diego County,"San Diego County, CA",401,67,435
110060,Bethesda University,2021,California,Orange County,"Orange County, CA",77,27,35
110097,Biola University,2021,California,Los Angeles County,"Los Angeles County, CA",952,27,2601
110194,Brownson Technical School,2021,California,Orange County,"Orange County, CA",266,77,2957
110219,Bryan University,2021,Arizona,Maricopa County,"Maricopa County, AZ",994,74,10716
110246,Butte College,2021,California,Butte County,"Butte County, CA",3043,33,243
110316,California Institute of Integral Studies,2021,California,San Francisco County,"San Francisco County, CA",48,49,16278
110334,Cabrillo College,2021,California,Santa Cruz County,"Santa Cruz County, CA",1956,20,11889
110361,California Baptist University,2021,California,Riverside County,"Riverside County, CA",3582,44,16340
110370,California College of the Arts,2021,California,San Francisco County,"San Francisco County, CA",288,23,4536
110398,University of California-Hastings College of Law,2021,California,San Francisco County,"San Francisco County, CA",,,1855
110404,California Institute of Technology,2021,California,Los Angeles County,"Los Angeles County, CA",104,12,9049
110413,California Lutheran University,2021,California,Ventura County,"Ventura County, CA",911,32,9020
110422,California Polytechnic State University-San Luis Obispo,2021,California,San Luis Obispo County,"San Luis Obispo County, CA",3492,16,46
110468,Alliant International University-San Diego,2021,California,San Diego County,"San Diego County, CA",20,5,8247
110486,California State University-Bakersfield,2021,California,Kern County,"Kern County, CA",6092,61,13701
110495,California State University-Stanislaus,2021,California,Stanislaus County,"Stanislaus County, CA",5651,57,1763
110501,California State University-Chancellors Office,2021,California,Los Angeles County,"Los Angeles County, CA",,,341
110510,California State University-San Bernardino,2021,California,San Bernardino County,"San Bernardino County, CA",10401,60,3781
110529,California State Polytechnic University-Pomona,2021,California,Los Angeles County,"Los Angeles County, CA",13536,48,2462
110538,California State University-Chico,2021,California,Butte County,"Butte County, CA",6809,43,5581
110547,California State University-Dominguez Hills,2021,California,Los Angeles County,"Los Angeles County, CA",10066,63,3692
110556,California State University-Fresno,2021,California,Fresno County,"Fresno County, CA",13001,57,405
110565,California State University-Fullerton,2021,California,Orange County,"Orange County, CA",17394,47,991
110574,California State University-East Bay,2021,California,Alameda County,"Alameda County, CA",5949,45,11
110583,California State University-Long Beach,2021,California,Los Angeles County,"Los Angeles County, CA",17306,51,535
110592,California State University-Los Angeles,2021,California,Los Angeles County,"Los Angeles County, CA",15106,66,198
110608,California State University-Northridge,2021,California,Los Angeles County,"Los Angeles County, CA",19782,57,49
110617,California State University-Sacramento,2021,California,Sacramento County,"Sacramento County, CA",14693,50,20
110635,University of California-Berkeley,2021,California,Alameda County,"Alameda County, CA",8377,27,174
110644,University of California-Davis,2021,California,Yolo County,"Yolo County, CA",10684,34,3684
110653,University of California-Irvine,2021,California,Orange County,"Orange County, CA",11371,38,15908
110662,University of California-Los Angeles,2021,California,Los Angeles County,"Los Angeles County, CA",8990,28,2252
110671,University of California-Riverside,2021,California,Riverside County,"Riverside County, CA",11345,50,22799
110680,University of California-San Diego,2021,California,San Diego County,"San Diego County, CA",10628,33,5844
110699,University of California-San Francisco,2021,California,San Francisco County,"San Francisco County, CA",,,1050
110705,University of California-Santa Barbara,2021,California,Santa Barbara County,"Santa Barbara County, CA",7423,32,3152
110714,University of California-Santa Cruz,2021,California,Santa Cruz County,"Santa Cruz County, CA",5469,32,2978
110778,Sofia University,2021,California,Santa Clara County,"Santa Clara County, CA",3,30,62
110875,California Beauty School,2021,California,Stanislaus County,"Stanislaus County, CA",44,49,3048
110918,California Christian College,2021,California,Fresno County,"Fresno County, CA",8,57,61
111045,Haven University,2021,California,Orange County,"Orange County, CA",6,30,20307
111054,California Hair Design Academy,2021,California,San Diego County,"San Diego County, CA",58,45,2049
111081,California Institute of the Arts,2021,California,Los Angeles County,"Los Angeles County, CA",173,23,3090
111188,California State University Maritime Academy,2021,California,Solano County,"Solano County, CA",248,27,4761
111391,California Western School of Law,2021,California,San Diego County,"San Diego County, CA",,,1431
111434,Canada College,2021,California,San Mateo County,"San Mateo County, CA",444,8,2619
111461,College of the Canyons,2021,California,Los Angeles County,"Los Angeles County, CA",2930,14,7551
111513,Career Academy of Beauty,2021,California,Orange County,"Orange County, CA",140,45,3363
111638,Casa Loma College-Van Nuys,2021,California,Los Angeles County,"Los Angeles County, CA",163,44,2407
111708,CET-San Diego,2021,California,San Diego County,"San Diego County, CA",76,24,7281
111717,CET-San Jose,2021,California,Santa Clara County,"Santa Clara County, CA",101,34,1833
111726,CET-El Centro,2021,California,Imperial County,"Imperial County, CA",64,23,1111
111744,CET-Colton,2021,California,San Bernardino County,"San Bernardino County, CA",109,47,361
111762,CET-Watsonville,2021,California,Santa Cruz County,"Santa Cruz County, CA",46,24,424
111799,CET-Salinas,2021,California,Monterey County,"Monterey County, CA",75,27,48
111887,Cerritos College,2021,California,Los Angeles County,"Los Angeles County, CA",7448,37,340
111896,Cerro Coso Community College,2021,California,Kern County,"Kern County, CA",692,13,377
111920,Chabot College,2021,California,Alameda County,"Alameda County, CA",1978,17,116
111939,Chaffey College,2021,California,San Bernardino County,"San Bernardino County, CA",5621,28,4547
111948,Chapman University,2021,California,Orange County,"Orange County, CA",1405,19,69
111966,Charles R Drew University of Medicine and Science,2021,California,Los Angeles County,"Los Angeles County, CA",123,53,81
112075,Concordia University-Irvine,2021,California,Orange County,"Orange County, CA",438,26,9742
112084,San Diego Christian College,2021,California,San Diego County,"San Diego County, CA",167,36,973
112127,Church Divinity School of the Pacific,2021,California,Alameda County,"Alameda County, CA",,,137
112172,Citrus College,2021,California,Los Angeles County,"Los Angeles County, CA",3055,26,970
112181,Citrus Heights Beauty College,2021,California,Sacramento County,"Sacramento County, CA",56,37,17402
112190,City College of San Francisco,2021,California,San Francisco County,"San Francisco County, CA",2694,14,7955
112251,Claremont Graduate University,2021,California,Los Angeles County,"Los Angeles County, CA",,,1919
112260,Claremont McKenna College,2021,California,Los Angeles County,"Los Angeles County, CA",249,20,8391
112288,Milan Institute-Visalia,2021,California,Tulare County,"Tulare County, CA",371,55,2009
112367,Clovis Adult Education,2021,California,Fresno County,"Fresno County, CA",51,6,18554
112376,Coast Community College District Office,2021,California,Orange County,"Orange County, CA",,,7528
112385,Coastline Community College,2021,California,Orange County,"Orange County, CA",946,11,2482
112394,University of Silicon Valley,2021,California,Santa Clara County,"Santa Clara County, CA",237,46,6770
112455,Coba Academy,2021,California,Orange County,"Orange County, CA",113,67,1198
112525,Western University of Health Sciences,2021,California,Los Angeles County,"Los Angeles County, CA",,,3305
112561,Columbia College,2021,California,Tuolumne County,"Tuolumne County, CA",476,22,2693
112570,Columbia College Hollywood,2021,California,Los Angeles County,"Los Angeles County, CA",402,53,17340
112686,Compton College,2021,California,Los Angeles County,"Los Angeles County, CA",1348,29,1024
112817,Contra Costa Community College District Office,2021,California,Contra Costa County,"Contra Costa County, CA",,,34
112826,Contra Costa College,2021,California,Contra Costa County,"Contra Costa County, CA",891,14,65
113096,Cosumnes River College,2021,California,Sacramento County,"Sacramento County, CA",3713,25,4048
113111,Crafton Hills College,2021,California,San Bernardino County,"San Bernardino County, CA",882,15,6689
113193,Cuesta College,2021,California,San Luis Obispo County,"San Luis Obispo County, CA",1877,19,194
113218,Cuyamaca College,2021,California,San Diego County,"San Diego County, CA",2074,24,465
113236,Cypress College,2021,California,Orange County,"Orange County, CA",4487,29,1574
113333,De Anza College,2021,California,Santa Clara County,"Santa Clara County, CA",3037,16,1135
113449,International School of Beauty Inc,2021,California,Riverside County,"Riverside County, CA",122,47,1870
113537,Dell'Arte International School of Physical Theatre,2021,California,Humboldt County,"Humboldt County, CA",0,0,84
113573,College of the Desert,2021,California,Riverside County,"Riverside County, CA",3499,32,819
113582,Design Institute of San Diego,2021,California,San Diego County,"San Diego County, CA",51,41,810
113634,Diablo Valley College,2021,California,Contra Costa County,"Contra Costa County, CA",2600,14,25
113698,Dominican University of California,2021,California,Marin County,"Marin County, CA",457,33,570
113704,Dominican School of Philosophy & Theology,2021,California,Alameda County,"Alameda County, CA",,,216
113856,East Los Angeles College,2021,California,Los Angeles County,"Los Angeles County, CA",6663,20,26057
113980,El Camino Community College District,2021,California,Los Angeles County,"Los Angeles County, CA",6080,30,2537
114114,Emperor's College of Traditional Oriental Medicine,2021,California,Los Angeles County,"Los Angeles County, CA",,,7774
114123,Empire College,2021,California,Sonoma County,"Sonoma County, CA",65,39,6494
114266,Evergreen Valley College,2021,California,Santa Clara County,"Santa Clara County, CA",2247,26,30831
114354,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,2021,California,Los Angeles County,"Los Angeles County, CA",566,30,31596
114390,FIDM-Fashion Institute of Design & Merchandising-San Francisco,2021,California,San Francisco County,"San Francisco County, CA",27,29,10795
114433,Feather River Community College District,2021,California,Plumas County,"Plumas County, CA",201,10,8
114460,Federico Beauty Institute,2021,California,Sacramento County,"Sacramento County, CA",230,48,8210
114549,Fielding Graduate University,2021,California,Santa Barbara County,"Santa Barbara County, CA",,,17988
114585,Five Branches University,2021,California,Santa Cruz County,"Santa Cruz County, CA",,,215
114637,Redondo Beach Beauty College,2021,California,Los Angeles County,"Los Angeles County, CA",23,23,11883
114716,Foothill College,2021,California,Santa Clara County,"Santa Clara County, CA",1010,7,15
114734,Franciscan School of Theology,2021,California,San Diego County,"San Diego County, CA",,,9980
114761,Fredrick and Charles Beauty College,2021,California,Humboldt County,"Humboldt County, CA",45,45,13188
114789,Fresno City College,2021,California,Fresno County,"Fresno County, CA",6124,27,144
114813,Fresno Pacific University,2021,California,Fresno County,"Fresno County, CA",1653,61,677
114831,Foothill-De Anza Community College District,2021,California,Santa Clara County,"Santa Clara County, CA",,,323
114840,Fuller Theological Seminary,2021,California,Los Angeles County,"Los Angeles County, CA",,,7020
114859,Fullerton College,2021,California,Orange County,"Orange County, CA",5357,25,4562
114938,Gavilan College,2021,California,Santa Clara County,"Santa Clara County, CA",1119,25,268
114947,Gemological Institute of America-Carlsbad,2021,California,San Diego County,"San Diego County, CA",16,12,68
115001,Glendale Community College,2021,California,Los Angeles County,"Los Angeles County, CA",4239,33,24877
115010,Glendale Career College,2021,California,Los Angeles County,"Los Angeles County, CA",465,47,43
115083,Golden Gate University,2021,California,San Francisco County,"San Francisco County, CA",93,16,4909
115126,Golden West College,2021,California,Orange County,"Orange County, CA",2578,23,8449
115214,Graduate Theological Union,2021,California,Alameda County,"Alameda County, CA",,,5175
