GEO_ID,NAME,estimated_population
0500000US12086,"Miami-Dade County, Florida",2662777
0500000US12087,"Monroe County, Florida",82170
0500000US12089,"Nassau County, Florida",94189
0500000US12091,"Okaloosa County, Florida",213255
0500000US12095,"Orange County, Florida",1422746
0500000US12097,"Osceola County, Florida",403282
0500000US12099,"Palm Beach County, Florida",1497987
0500000US12101,"Pasco County, Florida",584067
0500000US12103,"Pinellas County, Florida",956615
0500000US12105,"Polk County, Florida",753520
0500000US12107,"Putnam County, Florida",74167
0500000US12109,"St. Johns County, Florida",292466
0500000US12111,"St. Lucie County, Florida",343579
0500000US12113,"Santa Rosa County, Florida",193998
0500000US12115,"Sarasota County, Florida",447057
0500000US12117,"Seminole County, Florida",470093
0500000US12119,"Sumter County, Florida",135638
0500000US12127,"Volusia County, Florida",564412
0500000US12131,"Walton County, Florida",80069
0500000US13013,"Barrow County, Georgia",86658
0500000US13015,"Bartow County, Georgia",110843
0500000US13021,"Bibb County, Georgia",156762
0500000US13031,"Bulloch County, Georgia",82442
0500000US13045,"Carroll County, Georgia",121968
0500000US13047,"Catoosa County, Georgia",68397
0500000US13051,"Chatham County, Georgia",296329
0500000US13057,"Cherokee County, Georgia",274615
0500000US13059,"Clarke County, Georgia",128711
0500000US13063,"Clayton County, Georgia",297100
0500000US13067,"Cobb County, Georgia",766802
0500000US13073,"Columbia County, Georgia",159639
0500000US13077,"Coweta County, Georgia",149956
0500000US13089,"DeKalb County, Georgia",757718
0500000US13095,"Dougherty County, Georgia",84844
0500000US13097,"Douglas County, Georgia",145814
0500000US13103,"Effingham County, Georgia",66741
0500000US13113,"Fayette County, Georgia",120574
0500000US13115,"Floyd County, Georgia",98771
0500000US13117,"Forsyth County, Georgia",260206
0500000US13121,"Fulton County, Georgia",1065334
0500000US13127,"Glynn County, Georgia",84739
0500000US13135,"Gwinnett County, Georgia",964546
0500000US13139,"Hall County, Georgia",207369
0500000US13151,"Henry County, Georgia",245235
0500000US13153,"Houston County, Georgia",166829
0500000US13157,"Jackson County, Georgia",80286
0500000US13179,"Liberty County, Georgia",65711
0500000US13185,"Lowndes County, Georgia",119276
0500000US13215,"Muscogee County, Georgia",205617
0500000US13217,"Newton County, Georgia",115355
0500000US13223,"Paulding County, Georgia",173780
0500000US13245,"Richmond County, Georgia",205673
0500000US13247,"Rockdale County, Georgia",94082
0500000US13255,"Spalding County, Georgia",67909
0500000US13285,"Troup County, Georgia",69720
0500000US13295,"Walker County, Georgia",68510
0500000US13297,"Walton County, Georgia",99853
0500000US13313,"Whitfield County, Georgia",102848
0500000US15001,"Hawaii County, Hawaii",202906
0500000US15003,"Honolulu County, Hawaii",1000890
0500000US15007,"Kauai County, Hawaii",73454
0500000US15009,"Maui County, Hawaii",164268
0500000US16001,"Ada County, Idaho",511931
0500000US16005,"Bannock County, Idaho",88263
0500000US16019,"Bonneville County, Idaho",127930
0500000US16027,"Canyon County, Idaho",243115
0500000US16055,"Kootenai County, Idaho",179789
0500000US16083,"Twin Falls County, Idaho",92243
0500000US17019,"Champaign County, Illinois",205943
0500000US17031,"Cook County, Illinois",5173146
0500000US17037,"DeKalb County, Illinois",100414
0500000US17043,"DuPage County, Illinois",924885
0500000US17089,"Kane County, Illinois",515588
0500000US17091,"Kankakee County, Illinois",106601
0500000US17093,"Kendall County, Illinois",134867
0500000US17097,"Lake County, Illinois",711239
0500000US17099,"LaSalle County, Illinois",108965
0500000US17111,"McHenry County, Illinois",311122
0500000US17113,"McLean County, Illinois",170889
0500000US17115,"Macon County, Illinois",102432
0500000US17119,"Madison County, Illinois",264490
0500000US17143,"Peoria County, Illinois",179432
0500000US17161,"Rock Island County, Illinois",142909
0500000US17163,"St. Clair County, Illinois",254796
0500000US17167,"Sangamon County, Illinois",194734
0500000US17179,"Tazewell County, Illinois",130413
0500000US17183,"Vermilion County, Illinois",73095
0500000US17197,"Will County, Illinois",697252
0500000US17199,"Williamson County, Illinois",66879
0500000US17201,"Winnebago County, Illinois",283119
0500000US18003,"Allen County, Indiana",388608
0500000US18005,"Bartholomew County, Indiana",82475
0500000US18011,"Boone County, Indiana",73052
0500000US18019,"Clark County, Indiana",122738
0500000US18035,"Delaware County, Indiana",111871
0500000US18039,"Elkhart County, Indiana",206921
0500000US18043,"Floyd County, Indiana",80454
0500000US18053,"Grant County, Indiana",66263
0500000US18057,"Hamilton County, Indiana",356650
0500000US18059,"Hancock County, Indiana",81789
0500000US18063,"Hendricks County, Indiana",179355
0500000US18067,"Howard County, Indiana",83687
0500000US18081,"Johnson County, Indiana",164298
0500000US18085,"Kosciusko County, Indiana",80106
0500000US18089,"Lake County, Indiana",498558
0500000US18091,"LaPorte County, Indiana",112390
0500000US18095,"Madison County, Indiana",130782
0500000US18097,"Marion County, Indiana",971102
0500000US18105,"Monroe County, Indiana",139875
0500000US18109,"Morgan County, Indiana",72206
0500000US18127,"Porter County, Indiana",174243
0500000US18141,"St. Joseph County, Indiana",272212
0500000US18157,"Tippecanoe County, Indiana",187076
0500000US18163,"Vanderburgh County, Indiana",179987
0500000US18167,"Vigo County, Indiana",105994
0500000US18177,"Wayne County, Indiana",66456
0500000US19013,"Black Hawk County, Iowa",130368
0500000US19049,"Dallas County, Iowa",103796
0500000US19061,"Dubuque County, Iowa",98718
0500000US19103,"Johnson County, Iowa",154748
0500000US19113,"Linn County, Iowa",228939
0500000US19153,"Polk County, Iowa",496844
0500000US19155,"Pottawattamie County, Iowa",93304
0500000US19163,"Scott County, Iowa",174170
0500000US19169,"Story County, Iowa",99472
0500000US19193,"Woodbury County, Iowa",105607
0500000US20015,"Butler County, Kansas",67889
0500000US20045,"Douglas County, Kansas",119363
0500000US20091,"Johnson County, Kansas",613219
0500000US20103,"Leavenworth County, Kansas",82184
0500000US20161,"Riley County, Kansas",72208
0500000US20173,"Sedgwick County, Kansas",523828
0500000US20177,"Shawnee County, Kansas",178264
0500000US20209,"Wyandotte County, Kansas",167046
0500000US21015,"Boone County, Kentucky",137412
0500000US21029,"Bullitt County, Kentucky",82918
0500000US21037,"Campbell County, Kentucky",93050
0500000US21047,"Christian County, Kentucky",72357
0500000US21059,"Daviess County, Kentucky",103063
0500000US21067,"Fayette County, Kentucky",321793
0500000US21093,"Hardin County, Kentucky",111607
0500000US21111,"Jefferson County, Kentucky",777874
0500000US21117,"Kenton County, Kentucky",169495
0500000US21145,"McCracken County, Kentucky",67454
0500000US21151,"Madison County, Kentucky",94666
0500000US21185,"Oldham County, Kentucky",68685
0500000US21199,"Pulaski County, Kentucky",65423
0500000US21227,"Warren County, Kentucky",137212
0500000US22005,"Ascension Parish, Louisiana",128369
0500000US22015,"Bossier Parish, Louisiana",129144
0500000US22017,"Caddo Parish, Louisiana",233092
0500000US22019,"Calcasieu Parish, Louisiana",205282
0500000US22033,"East Baton Rouge Parish, Louisiana",453301
0500000US22045,"Iberia Parish, Louisiana",68975
0500000US22051,"Jefferson Parish, Louisiana",433688
0500000US22055,"Lafayette Parish, Louisiana",244205
0500000US22057,"Lafourche Parish, Louisiana",97504
0500000US22063,"Livingston Parish, Louisiana",145830
0500000US22071,"Orleans Parish, Louisiana",376971
0500000US22073,"Ouachita Parish, Louisiana",158768
0500000US22079,"Rapides Parish, Louisiana",128654
0500000US22097,"St. Landry Parish, Louisiana",82071
0500000US22103,"St. Tammany Parish, Louisiana",269388
0500000US22105,"Tangipahoa Parish, Louisiana",135217
0500000US22109,"Terrebonne Parish, Louisiana",108708
0500000US23001,"Androscoggin County, Maine",111034
0500000US23003,"Aroostook County, Maine",66859
0500000US23005,"Cumberland County, Maine",305231
0500000US23011,"Kennebec County, Maine",124486
0500000US23019,"Penobscot County, Maine",152765
0500000US23031,"York County, Maine",214591
0500000US24001,"Allegany County, Maryland",67729
0500000US24003,"Anne Arundel County, Maryland",590336
0500000US24005,"Baltimore County, Maryland",849316
0500000US24009,"Calvert County, Maryland",93928
0500000US24013,"Carroll County, Maryland",173873
0500000US24015,"Cecil County, Maryland",103905
0500000US24017,"Charles County, Maryland",168698
0500000US24021,"Frederick County, Maryland",279835
0500000US24025,"Harford County, Maryland",262977
0500000US24027,"Howard County, Maryland",334529
0500000US24031,"Montgomery County, Maryland",1054827
0500000US24033,"Prince George's County, Maryland",955306
0500000US24037,"St. Mary's County, Maryland",114468
0500000US24043,"Washington County, Maryland",154937
0500000US24045,"Wicomico County, Maryland",103980
0500000US24510,"Baltimore city, Maryland",576498
0500000US25001,"Barnstable County, Massachusetts",232411
0500000US25003,"Berkshire County, Massachusetts",128657
0500000US25005,"Bristol County, Massachusetts",580164
0500000US25009,"Essex County, Massachusetts",807074
0500000US25011,"Franklin County, Massachusetts",71015
0500000US25013,"Hampden County, Massachusetts",462718
0500000US25015,"Hampshire County, Massachusetts",161572
0500000US25017,"Middlesex County, Massachusetts",1614742
0500000US25021,"Norfolk County, Massachusetts",724505
0500000US25023,"Plymouth County, Massachusetts",533003
0500000US25025,"Suffolk County, Massachusetts",771245
0500000US25027,"Worcester County, Massachusetts",862029
0500000US26005,"Allegan County, Michigan",120950
0500000US26017,"Bay County, Michigan",102985
0500000US26021,"Berrien County, Michigan",153101
0500000US26025,"Calhoun County, Michigan",133819
0500000US26037,"Clinton County, Michigan",79426
0500000US26045,"Eaton County, Michigan",108944
0500000US26049,"Genesee County, Michigan",404208
0500000US26055,"Grand Traverse County, Michigan",95860
0500000US26065,"Ingham County, Michigan",284034
0500000US26067,"Ionia County, Michigan",67197
0500000US26075,"Jackson County, Michigan",160050
0500000US26077,"Kalamazoo County, Michigan",261108
0500000US26081,"Kent County, Michigan",658046
0500000US26087,"Lapeer County, Michigan",88513
0500000US26091,"Lenawee County, Michigan",98956
0500000US26093,"Livingston County, Michigan",195014
0500000US26099,"Macomb County, Michigan",876792
0500000US26103,"Marquette County, Michigan",66103
0500000US26111,"Midland County, Michigan",83457
0500000US26115,"Monroe County, Michigan",155274
0500000US26117,"Montcalm County, Michigan",67220
0500000US26121,"Muskegon County, Michigan",176511
0500000US26125,"Oakland County, Michigan",1270017
0500000US26139,"Ottawa County, Michigan",299157
0500000US26145,"Saginaw County, Michigan",189591
0500000US26147,"St. Clair County, Michigan",160053
0500000US26155,"Shiawassee County, Michigan",67877
0500000US26159,"Van Buren County, Michigan",75658
0500000US26161,"Washtenaw County, Michigan",369390
0500000US26163,"Wayne County, Michigan",1774816
0500000US27003,"Anoka County, Minnesota",367018
0500000US27013,"Blue Earth County, Minnesota",69280
0500000US27019,"Carver County, Minnesota",108626
0500000US27027,"Clay County, Minnesota",65574
0500000US27035,"Crow Wing County, Minnesota",67270
0500000US27037,"Dakota County, Minnesota",442038
0500000US27053,"Hennepin County, Minnesota",1267416
0500000US27109,"Olmsted County, Minnesota",163436
0500000US27123,"Ramsey County, Minnesota",543257
0500000US27131,"Rice County, Minnesota",67262
0500000US27137,"St. Louis County, Minnesota",199182
0500000US27139,"Scott County, Minnesota",153268
0500000US27141,"Sherburne County, Minnesota",99074
0500000US27145,"Stearns County, Minnesota",158947
0500000US27163,"Washington County, Minnesota",272256
0500000US27171,"Wright County, Minnesota",144845
0500000US28033,"DeSoto County, Mississippi",188633
0500000US28035,"Forrest County, Mississippi",77875
0500000US28047,"Harrison County, Mississippi",209396
0500000US28049,"Hinds County, Mississippi",222679
0500000US28059,"Jackson County, Mississippi",143987
0500000US28067,"Jones County, Mississippi",66744
0500000US28073,"Lamar County, Mississippi",65353
0500000US28075,"Lauderdale County, Mississippi",72088
0500000US28081,"Lee County, Mississippi",82883
0500000US28089,"Madison County, Mississippi",109813
0500000US28121,"Rankin County, Mississippi",158096
0500000US29019,"Boone County, Missouri",185840
0500000US29021,"Buchanan County, Missouri",83853
0500000US29031,"Cape Girardeau County, Missouri",82113
0500000US29037,"Cass County, Missouri",109638
0500000US29043,"Christian County, Missouri",91499
0500000US29047,"Clay County, Missouri",255518
0500000US29051,"Cole County, Missouri",77205
0500000US29071,"Franklin County, Missouri",105231
0500000US29077,"Greene County, Missouri",300865
0500000US29095,"Jackson County, Missouri",716862
0500000US29097,"Jasper County, Missouri",123155
0500000US29099,"Jefferson County, Missouri",227771
0500000US29165,"Platte County, Missouri",108569
0500000US29183,"St. Charles County, Missouri",409981
0500000US29187,"St. Francois County, Missouri",67541
0500000US29189,"St. Louis County, Missouri",997187
0500000US29510,"St. Louis city, Missouri",293310
0500000US30013,"Cascade County, Montana",84511
0500000US30029,"Flathead County, Montana",108454
0500000US30031,"Gallatin County, Montana",122713
0500000US30049,"Lewis and Clark County, Montana",72223
0500000US30063,"Missoula County, Montana",119533
0500000US30111,"Yellowstone County, Montana",167146
0500000US31055,"Douglas County, Nebraska",585008
0500000US31109,"Lancaster County, Nebraska",324514
0500000US31153,"Sarpy County, Nebraska",193418
0500000US32003,"Clark County, Nevada",2292476
0500000US32031,"Washoe County, Nevada",493392
0500000US33005,"Cheshire County, New Hampshire",77329
0500000US33009,"Grafton County, New Hampshire",92201
0500000US33011,"Hillsborough County, New Hampshire",424079
0500000US33013,"Merrimack County, New Hampshire",155238
0500000US33015,"Rockingham County, New Hampshire",316947
0500000US33017,"Strafford County, New Hampshire",132416
0500000US34001,"Atlantic County, New Jersey",274966
0500000US34003,"Bergen County, New Jersey",953819
0500000US34005,"Burlington County, New Jersey",464269
0500000US34007,"Camden County, New Jersey",523771
0500000US34009,"Cape May County, New Jersey",95661
0500000US34011,"Cumberland County, New Jersey",153627
0500000US34013,"Essex County, New Jersey",854917
0500000US34015,"Gloucester County, New Jersey",304477
0500000US34017,"Hudson County, New Jersey",702463
0500000US34019,"Hunterdon County, New Jersey",129924
0500000US34021,"Mercer County, New Jersey",385898
0500000US34023,"Middlesex County, New Jersey",860807
0500000US34025,"Monmouth County, New Jersey",645354
0500000US34027,"Morris County, New Jersey",510981
0500000US34029,"Ocean County, New Jersey",648998
0500000US34031,"Passaic County, New Jersey",518117
0500000US34033,"Salem County, New Jersey",65046
0500000US34035,"Somerset County, New Jersey",345647
0500000US34037,"Sussex County, New Jersey",145543
0500000US34039,"Union County, New Jersey",572114
0500000US34041,"Warren County, New Jersey",110731
0500000US35001,"Bernalillo County, New Mexico",674393
0500000US35013,"Doña Ana County, New Mexico",221508
0500000US35025,"Lea County, New Mexico",73004
0500000US35031,"McKinley County, New Mexico",71780
0500000US35035,"Otero County, New Mexico",68537
0500000US35043,"Sandoval County, New Mexico",151369
0500000US35045,"San Juan County, New Mexico",120993
0500000US35049,"Santa Fe County, New Mexico",155201
0500000US35061,"Valencia County, New Mexico",77190
0500000US36001,"Albany County, New York",313743
0500000US36005,"Bronx County, New York",1424948
0500000US36007,"Broome County, New York",197240
0500000US36009,"Cattaraugus County, New York",76426
0500000US36011,"Cayuga County, New York",75880
0500000US36013,"Chautauqua County, New York",126807
0500000US36015,"Chemung County, New York",83045
0500000US36019,"Clinton County, New York",79596
0500000US36027,"Dutchess County, New York",297112
0500000US36029,"Erie County, New York",950683
0500000US36045,"Jefferson County, New York",116295
0500000US36047,"Kings County, New York",2641052
0500000US36053,"Madison County, New York",67658
0500000US36055,"Monroe County, New York",755160
0500000US36059,"Nassau County, New York",1390907
0500000US36061,"New York County, New York",1576876
0500000US36063,"Niagara County, New York",211653
0500000US36065,"Oneida County, New York",230274
0500000US36067,"Onondaga County, New York",473236
0500000US36069,"Ontario County, New York",112508
0500000US36071,"Orange County, New York",404525
0500000US36075,"Oswego County, New York",117387
0500000US36079,"Putnam County, New York",97936
0500000US36081,"Queens County, New York",2331143
0500000US36083,"Rensselaer County, New York",160232
0500000US36085,"Richmond County, New York",493494
0500000US36087,"Rockland County, New York",339227
0500000US36089,"St. Lawrence County, New York",108051
0500000US36091,"Saratoga County, New York",237359
0500000US36093,"Schenectady County, New York",158089
0500000US36101,"Steuben County, New York",92948
0500000US36103,"Suffolk County, New York",1526344
0500000US36105,"Sullivan County, New York",79806
0500000US36109,"Tompkins County, New York",105162
0500000US36111,"Ulster County, New York",182951
0500000US36113,"Warren County, New York",65618
0500000US36117,"Wayne County, New York",90923
0500000US36119,"Westchester County, New York",997895
0500000US37001,"Alamance County, North Carolina",173877
0500000US37019,"Brunswick County, North Carolina",144215
0500000US37021,"Buncombe County, North Carolina",271534
0500000US37023,"Burke County, North Carolina",87611
0500000US37025,"Cabarrus County, North Carolina",231278
0500000US37027,"Caldwell County, North Carolina",80463
0500000US37031,"Carteret County, North Carolina",68541
0500000US37035,"Catawba County, North Carolina",161723
0500000US37037,"Chatham County, North Carolina",77889
0500000US37045,"Cleveland County, North Carolina",100359
0500000US37049,"Craven County, North Carolina",100674
0500000US37051,"Cumberland County, North Carolina",335508
0500000US37057,"Davidson County, North Carolina",170637
0500000US37063,"Durham County, North Carolina",326126
0500000US37067,"Forsyth County, North Carolina",385523
0500000US37069,"Franklin County, North Carolina",71703
0500000US37071,"Gaston County, North Carolina",230856
0500000US37081,"Guilford County, North Carolina",542410
0500000US37085,"Harnett County, North Carolina",135966
0500000US37089,"Henderson County, North Carolina",116829
0500000US37097,"Iredell County, North Carolina",191968
0500000US37101,"Johnston County, North Carolina",226504
0500000US37109,"Lincoln County, North Carolina",89670
0500000US37119,"Mecklenburg County, North Carolina",1122276
0500000US37125,"Moore County, North Carolina",102763
0500000US37127,"Nash County, North Carolina",95176
0500000US37129,"New Hanover County, North Carolina",229018
0500000US37133,"Onslow County, North Carolina",206160
0500000US37135,"Orange County, North Carolina",148884
0500000US37147,"Pitt County, North Carolina",172169
0500000US37151,"Randolph County, North Carolina",145172
0500000US37155,"Robeson County, North Carolina",116328
0500000US37157,"Rockingham County, North Carolina",91266
0500000US37159,"Rowan County, North Carolina",148150
0500000US37171,"Surry County, North Carolina",71152
0500000US37179,"Union County, North Carolina",243648
0500000US37183,"Wake County, North Carolina",1150204
0500000US37191,"Wayne County, North Carolina",116835
0500000US37193,"Wilkes County, North Carolina",65806
0500000US37195,"Wilson County, North Carolina",78369
0500000US38015,"Burleigh County, North Dakota",98933
0500000US38017,"Cass County, North Dakota",186562
0500000US38035,"Grand Forks County, North Dakota",72705
0500000US38101,"Ward County, North Dakota",69071
0500000US39003,"Allen County, Ohio",101670
0500000US39007,"Ashtabula County, Ohio",97337
0500000US39013,"Belmont County, Ohio",65849
0500000US39017,"Butler County, Ohio",390234
0500000US39023,"Clark County, Ohio",135633
0500000US39025,"Clermont County, Ohio",209642
0500000US39029,"Columbiana County, Ohio",101310
0500000US39035,"Cuyahoga County, Ohio",1249387
0500000US39041,"Delaware County, Ohio",220740
0500000US39043,"Erie County, Ohio",74852
0500000US39045,"Fairfield County, Ohio",161064
0500000US39049,"Franklin County, Ohio",1321414
0500000US39055,"Geauga County, Ohio",95565
0500000US39057,"Greene County, Ohio",168412
0500000US39061,"Hamilton County, Ohio",826139
0500000US39063,"Hancock County, Ohio",74656
0500000US39085,"Lake County, Ohio",232023
0500000US39089,"Licking County, Ohio",180401
0500000US39093,"Lorain County, Ohio",315595
0500000US39095,"Lucas County, Ohio",429191
0500000US39099,"Mahoning County, Ohio",226762
0500000US39101,"Marion County, Ohio",65291
0500000US39103,"Medina County, Ohio",183092
0500000US39109,"Miami County, Ohio",109264
0500000US39113,"Montgomery County, Ohio",535840
0500000US39119,"Muskingum County, Ohio",86408
0500000US39133,"Portage County, Ohio",162382
0500000US39139,"Richland County, Ohio",125195
0500000US39141,"Ross County, Ohio",76891
0500000US39145,"Scioto County, Ohio",73346
0500000US39151,"Stark County, Ohio",373834
0500000US39153,"Summit County, Ohio",537633
0500000US39155,"Trumbull County, Ohio",201335
0500000US39157,"Tuscarawas County, Ohio",92500
0500000US39165,"Warren County, Ohio",246553
0500000US39169,"Wayne County, Ohio",116710
0500000US39173,"Wood County, Ohio",132472
0500000US40017,"Canadian County, Oklahoma",161737
0500000US40027,"Cleveland County, Oklahoma",297597
0500000US40031,"Comanche County, Oklahoma",122063
0500000US40037,"Creek County, Oklahoma",72029
0500000US40101,"Muskogee County, Oklahoma",66146
0500000US40109,"Oklahoma County, Oklahoma",798575
0500000US40119,"Payne County, Oklahoma",81989
0500000US40125,"Pottawatomie County, Oklahoma",73019
0500000US40131,"Rogers County, Oklahoma",96695
0500000US40143,"Tulsa County, Oklahoma",672858
0500000US40145,"Wagoner County, Oklahoma",84050
0500000US41003,"Benton County, Oregon",96017
0500000US41005,"Clackamas County, Oregon",422537
0500000US41017,"Deschutes County, Oregon",204801
0500000US41019,"Douglas County, Oregon",111978
0500000US41029,"Jackson County, Oregon",223734
0500000US41033,"Josephine County, Oregon",88346
0500000US41035,"Klamath County, Oregon",70164
0500000US41039,"Lane County, Oregon",383189
0500000US41043,"Linn County, Oregon",129839
0500000US41047,"Marion County, Oregon",347119
0500000US41051,"Multnomah County, Oregon",803377
0500000US41053,"Polk County, Oregon",89164
0500000US41059,"Umatilla County, Oregon",79988
0500000US41067,"Washington County, Oregon",600811
0500000US41071,"Yamhill County, Oregon",108239
0500000US42001,"Adams County, Pennsylvania",104127
0500000US42003,"Allegheny County, Pennsylvania",1238090
0500000US42005,"Armstrong County, Pennsylvania",65093
0500000US42007,"Beaver County, Pennsylvania",166624
0500000US42011,"Berks County, Pennsylvania",429342
0500000US42013,"Blair County, Pennsylvania",121767
0500000US42017,"Bucks County, Pennsylvania",646098
0500000US42019,"Butler County, Pennsylvania",194273
0500000US42021,"Cambria County, Pennsylvania",132167
0500000US42025,"Carbon County, Pennsylvania",65412
0500000US42027,"Centre County, Pennsylvania",157527
0500000US42029,"Chester County, Pennsylvania",538649
0500000US42033,"Clearfield County, Pennsylvania",80082
0500000US42039,"Crawford County, Pennsylvania",83351
0500000US42041,"Cumberland County, Pennsylvania",262919
0500000US42043,"Dauphin County, Pennsylvania",287400
0500000US42045,"Delaware County, Pennsylvania",573849
0500000US42049,"Erie County, Pennsylvania",269011
0500000US42051,"Fayette County, Pennsylvania",126931
0500000US42055,"Franklin County, Pennsylvania",156289
0500000US42063,"Indiana County, Pennsylvania",82886
0500000US42069,"Lackawanna County, Pennsylvania",215663
0500000US42071,"Lancaster County, Pennsylvania",553652
0500000US42073,"Lawrence County, Pennsylvania",85497
0500000US42075,"Lebanon County, Pennsylvania",143493
